"Data Table: Multiple sclerosis, Crude prevalence, percent"
"Area","Sex","Age Group","Year","Rate (%)","Rate_95%_CI_Lower","Rate_95%_CI_Upper","Rate CV","Counts","Population",
"Canada","Both sexes","'45-49'","2007","0.31","0.30","0.32","1.23","6570","2116095",
"Canada","Both sexes","'50-64'","2007","0.35","0.35","0.36","0.76","17120","4841040",
"Canada","Both sexes","'50-54'","2007","0.36","0.35","0.37","1.20","6905","1907720",
"Canada","Both sexes","'55-59'","2007","0.36","0.35","0.37","1.32","5770","1609600",
"Canada","Both sexes","'60-64'","2007","0.34","0.33","0.35","1.50","4445","1323720",
"Canada","Both sexes","'65-79'","2007","0.23","0.23","0.24","1.32","5770","2490620",
"Canada","Both sexes","'65-69'","2007","0.29","0.28","0.30","1.88","2830","987420",
"Canada","Both sexes","'70-74'","2007","0.21","0.20","0.22","2.41","1725","808260",
"Canada","Both sexes","'75-79'","2007","0.18","0.17","0.19","2.86","1220","694940",
"Canada","Both sexes","'80+'","2007","0.11","0.11","0.12","2.87","1210","1052660",
"Canada","Both sexes","'80-84'","2007","0.14","0.13","0.15","3.64","755","529295",
"Canada","Both sexes","'85-89'","2007","0.10","0.09","0.11","5.63","315","328555",
"Canada","Both sexes","'90+'","2007","0.07","0.06","0.08","8.61","135","194805",
"Canada","Both sexes","'20+'","2008","0.23","0.23","0.23","0.46","46400","20216195",
"Canada","Both sexes","'20-34'","2008","0.08","0.08","0.08","1.53","4255","5327745",
"Canada","Both sexes","'20-24'","2008","0.02","0.02","0.02","5.13","380","1777310",
"Canada","Both sexes","'25-29'","2008","0.07","0.07","0.08","2.77","1300","1788160",
"Canada","Both sexes","'30-34'","2008","0.15","0.14","0.15","1.97","2570","1762270",
"Canada","Both sexes","'35-49'","2008","0.27","0.26","0.27","0.79","16210","6074225",
"Canada","Both sexes","'35-39'","2008","0.21","0.20","0.22","1.60","3925","1879050",
"Canada","Both sexes","'40-44'","2008","0.27","0.26","0.27","1.37","5325","2001065",
"Canada","Both sexes","'45-49'","2008","0.32","0.31","0.32","1.20","6965","2194110",
"Canada","Both sexes","'50-64'","2008","0.36","0.35","0.36","0.74","18370","5123995",
"Canada","Both sexes","'50-54'","2008","0.36","0.35","0.37","1.18","7230","1999955",
"Canada","Both sexes","'55-59'","2008","0.37","0.36","0.38","1.26","6295","1696935",
"Canada","Both sexes","'60-64'","2008","0.34","0.33","0.35","1.44","4845","1427110",
"Canada","Both sexes","'65-79'","2008","0.24","0.23","0.25","1.26","6250","2597380",
"Canada","Both sexes","'65-69'","2008","0.30","0.29","0.31","1.79","3135","1053995",
"Canada","Both sexes","'70-74'","2008","0.22","0.21","0.23","2.31","1875","837780",
"Canada","Both sexes","'75-79'","2008","0.18","0.17","0.19","2.85","1235","705595",
"Canada","Both sexes","'80+'","2008","0.12","0.11","0.13","2.76","1315","1092850",
"Canada","Both sexes","'80-84'","2008","0.15","0.14","0.16","3.49","820","543760",
"Canada","Both sexes","'85-89'","2008","0.10","0.09","0.12","5.23","365","349045",
"Canada","Both sexes","'90+'","2008","0.07","0.06","0.08","8.61","135","200045",
"Canada","Both sexes","'20+'","2009","0.24","0.24","0.24","0.45","48775","20537970",
"Canada","Both sexes","'20-34'","2009","0.08","0.08","0.09","1.48","4570","5393450",
"Canada","Both sexes","'20-24'","2009","0.03","0.02","0.03","4.64","465","1784110",
"Canada","Both sexes","'25-29'","2009","0.08","0.08","0.09","2.60","1480","1828445",
