"Data Table: Epilepsy (active), Crude prevalence, percent"
"Area","Sex","Age Group","Year","Rate (%)","Rate_95%_CI_Lower","Rate_95%_CI_Upper","Rate CV","Counts","Population",
"Canada","Both sexes","'20-24'","2010","0.53","0.52","0.54","1.01","9780","1831580",
"Canada","Both sexes","'25-29'","2010","0.55","0.54","0.56","0.99","10290","1875275",
"Canada","Both sexes","'30-34'","2010","0.56","0.55","0.57","0.99","10155","1818680",
"Canada","Both sexes","'35-49'","2010","0.62","0.62","0.63","0.52","37560","6037630",
"Canada","Both sexes","'35-39'","2010","0.57","0.56","0.58","0.97","10590","1864500",
"Canada","Both sexes","'40-44'","2010","0.61","0.60","0.62","0.91","12065","1973355",
"Canada","Both sexes","'45-49'","2010","0.68","0.67","0.69","0.82","14905","2199770",
"Canada","Both sexes","'50-64'","2010","0.70","0.69","0.70","0.51","38350","5501890",
"Canada","Both sexes","'50-54'","2010","0.69","0.68","0.71","0.83","14585","2100885",
"Canada","Both sexes","'55-59'","2010","0.71","0.69","0.72","0.88","12870","1823795",
"Canada","Both sexes","'60-64'","2010","0.69","0.68","0.70","0.96","10895","1577210",
"Canada","Both sexes","'65-79'","2010","0.71","0.70","0.72","0.72","19400","2741605",
"Canada","Both sexes","'65-69'","2010","0.68","0.67","0.70","1.13","7805","1141230",
"Canada","Both sexes","'70-74'","2010","0.69","0.67","0.71","1.28","6075","882320",
"Canada","Both sexes","'75-79'","2010","0.77","0.75","0.79","1.35","5520","718055",
"Canada","Both sexes","'80+'","2010","0.76","0.74","0.77","1.06","8820","1166765",
"Canada","Both sexes","'80-84'","2010","0.79","0.77","0.82","1.50","4455","562055",
"Canada","Both sexes","'85-89'","2010","0.76","0.74","0.79","1.87","2850","373405",
"Canada","Both sexes","'90+'","2010","0.65","0.62","0.69","2.57","1510","231305",
"Canada","Both sexes","'1+'","2011","0.60","0.59","0.60","0.25","163035","27375755",
"Canada","Both sexes","'1-19'","2011","0.42","0.41","0.42","0.63","25185","6008580",
"Canada","Both sexes","'1-4'","2011","0.21","0.20","0.22","1.98","2545","1222090",
"Canada","Both sexes","'5-9'","2011","0.41","0.40","0.43","1.27","6220","1499360",
"Canada","Both sexes","'10-14'","2011","0.48","0.47","0.49","1.16","7420","1545420",
"Canada","Both sexes","'15-19'","2011","0.52","0.51","0.53","1.05","8995","1741705",
"Canada","Both sexes","'20-34'","2011","0.55","0.55","0.56","0.57","31110","5636060",
"Canada","Both sexes","'20-24'","2011","0.54","0.53","0.55","1.00","10025","1859830",
"Canada","Both sexes","'25-29'","2011","0.56","0.55","0.57","0.97","10695","1911530",
"Canada","Both sexes","'30-34'","2011","0.56","0.55","0.57","0.98","10390","1864700",
"Canada","Both sexes","'35-49'","2011","0.62","0.61","0.63","0.52","37290","6019430",
"Canada","Both sexes","'35-39'","2011","0.57","0.56","0.58","0.97","10615","1868195",
"Canada","Both sexes","'40-44'","2011","0.61","0.59","0.62","0.91","12020","1984230",
"Canada","Both sexes","'45-49'","2011","0.68","0.67","0.69","0.83","14655","2167000",
"Canada","Both sexes","'50-64'","2011","0.71","0.70","0.71","0.50","39800","5635655",
"Canada","Both sexes","'50-54'","2011","0.70","0.69","0.71","0.82","15055","2145150",
"Canada","Both sexes","'55-59'","2011","0.71","0.70","0.72","0.86","13435","1889140",
"Canada","Both sexes","'60-64'","2011","0.71","0.69","0.72","0.94","11305","1601365",
"Canada","Both sexes","'65-79'","2011","0.71","0.70","0.72","0.70","20505","2875490",
"Canada","Both sexes","'65-69'","2011","0.69","0.68","0.71","1.08","8550","1235840",
"Canada","Both sexes","'70-74'","2011","0.70","0.68","0.71","1.25","6360","914265",
"Canada","Both sexes","'75-79'","2011","0.77","0.75","0.79","1.34","5595","725390",
"Canada","Both sexes","'80+'","2011","0.76","0.75","0.78","1.05","9150","1200535",
"Canada","Both sexes","'80-84'","2011","0.81","0.79","0.84","1.47","4650","572020",
"Canada","Both sexes","'85-89'","2011","0.76","0.73","0.79","1.86","2895","380495",
"Canada","Both sexes","'90+'","2011","0.65","0.61","0.68","2.50","1600","248015",
"Canada","Both sexes","'1+'","2012","0.60","0.60","0.60","0.24","166810","27793460",
"Canada","Both sexes","'1-19'","2012","0.43","0.42","0.43","0.62","25730","6021035",
"Canada","Both sexes","'1-4'","2012","0.22","0.21","0.23","1.94","2665","1223845",
"Canada","Both sexes","'5-9'","2012","0.43","0.42","0.44","1.24","6550","1535955",
"Canada","Both sexes","'10-14'","2012","0.48","0.47","0.49","1.16","7405","1536890",
"Canada","Both sexes","'15-19'","2012","0.53","0.52","0.54","1.05","9115","1724355",
"Canada","Both sexes","'20-34'","2012","0.56","0.55","0.56","0.56","32040","5749950",
"Canada","Both sexes","'20-24'","2012","0.55","0.54","0.56","0.98","10425","1884675",
"Canada","Both sexes","'25-29'","2012","0.56","0.55","0.57","0.96","10900","1941775",
"Canada","Both sexes","'30-34'","2012","0.56","0.55","0.57","0.97","10710","1923495",
"Canada","Both sexes","'35-49'","2012","0.62","0.61","0.62","0.52","36860","5991315",
"Canada","Both sexes","'35-39'","2012","0.57","0.56","0.58","0.96","10800","1882620",
"Canada","Both sexes","'40-44'","2012","0.60","0.58","0.61","0.92","11860","1991480",
"Canada","Both sexes","'45-49'","2012","0.67","0.66","0.68","0.84","14200","2117215",
"Canada","Both sexes","'50-64'","2012","0.71","0.70","0.72","0.49","40940","5776760",
"Canada","Both sexes","'50-54'","2012","0.71","0.70","0.72","0.80","15455","2188555",
"Canada","Both sexes","'55-59'","2012","0.71","0.70","0.72","0.85","13905","1954125",
"Canada","Both sexes","'60-64'","2012","0.71","0.70","0.72","0.93","11580","1634085",
"Canada","Both sexes","'65-79'","2012","0.72","0.71","0.73","0.68","21740","3020275",
"Canada","Both sexes","'65-69'","2012","0.70","0.69","0.72","1.04","9300","1324495",
"Canada","Both sexes","'70-74'","2012","0.70","0.68","0.72","1.22","6690","955910",
"Canada","Both sexes","'75-79'","2012","0.78","0.76","0.80","1.32","5750","739865",
"Canada","Both sexes","'80+'","2012","0.77","0.75","0.79","1.03","9495","1234110",
"Canada","Both sexes","'80-84'","2012","0.82","0.79","0.84","1.45","4740","580225",
"Canada","Both sexes","'85-89'","2012","0.78","0.76","0.81","1.81","3050","389750",
"Canada","Both sexes","'90+'","2012","0.65","0.62","0.68","2.42","1710","264140",
"Canada","Both sexes","'1+'","2013","0.61","0.60","0.61","0.24","171010","28185675",
"Canada","Both sexes","'1-19'","2013","0.43","0.43","0.44","0.62","26200","6036830",
"Canada","Both sexes","'1-4'","2013","0.22","0.22","0.23","1.91","2740","1224205",
"Canada","Both sexes","'5-9'","2013","0.43","0.42","0.44","1.21","6780","1566815",
"Canada","Both sexes","'10-14'","2013","0.49","0.48","0.50","1.15","7555","1539740",
"Canada","Both sexes","'15-19'","2013","0.53","0.52","0.55","1.05","9125","1706070",
"Canada","Both sexes","'20-34'","2013","0.57","0.56","0.57","0.55","33130","5846040",
"Canada","Both sexes","'20-24'","2013","0.57","0.56","0.59","0.96","10885","1895500",
"Canada","Both sexes","'25-29'","2013","0.56","0.55","0.58","0.95","11120","1969740",
"Canada","Both sexes","'30-34'","2013","0.56","0.55","0.57","0.95","11125","1980795",
"Canada","Both sexes","'35-49'","2013","0.61","0.60","0.62","0.52","36440","5961515",
"Canada","Both sexes","'35-39'","2013","0.57","0.56","0.59","0.96","10955","1906950",
"Canada","Both sexes","'40-44'","2013","0.60","0.59","0.61","0.92","11850","1984530",
"Canada","Both sexes","'45-49'","2013","0.66","0.65","0.67","0.86","13630","2070030",
"Canada","Both sexes","'50-64'","2013","0.72","0.71","0.72","0.49","42320","5918165",
"Canada","Both sexes","'50-54'","2013","0.71","0.70","0.72","0.80","15765","2227315",
"Canada","Both sexes","'55-59'","2013","0.72","0.70","0.73","0.83","14355","2006320",
"Canada","Both sexes","'60-64'","2013","0.72","0.71","0.74","0.90","12210","1684540",
"Canada","Both sexes","'65-79'","2013","0.73","0.72","0.74","0.66","23160","3158890",
"Canada","Both sexes","'65-69'","2013","0.72","0.71","0.73","1.00","10055","1397695",
"Canada","Both sexes","'70-74'","2013","0.72","0.70","0.73","1.18","7180","1001560",
"Canada","Both sexes","'75-79'","2013","0.78","0.76","0.80","1.30","5925","759635",
"Canada","Both sexes","'80+'","2013","0.77","0.76","0.79","1.01","9755","1264225",
"Canada","Both sexes","'80-84'","2013","0.82","0.79","0.84","1.44","4805","588165",
"Canada","Both sexes","'85-89'","2013","0.80","0.78","0.83","1.77","3185","396290",
"Canada","Both sexes","'90+'","2013","0.63","0.60","0.66","2.38","1765","279770",
"Canada","Both sexes","'1+'","2014","0.61","0.61","0.62","0.24","175385","28529165",
"Canada","Both sexes","'1-19'","2014","0.44","0.44","0.45","0.61","26810","6051655",
"Canada","Both sexes","'1-4'","2014","0.22","0.22","0.23","1.90","2765","1230515",
"Canada","Both sexes","'5-9'","2014","0.45","0.44","0.46","1.19","7110","1590115",
"Canada","Both sexes","'10-14'","2014","0.50","0.49","0.51","1.14","7740","1544665",
"Canada","Both sexes","'15-19'","2014","0.54","0.53","0.56","1.04","9190","1686360",
"Canada","Both sexes","'20-34'","2014","0.58","0.57","0.58","0.54","34135","5930390",
"Canada","Both sexes","'20-24'","2014","0.59","0.58","0.60","0.95","11160","1896545",
"Canada","Both sexes","'25-29'","2014","0.57","0.56","0.58","0.93","11485","2004320",
"Canada","Both sexes","'30-34'","2014","0.57","0.56","0.58","0.93","11490","2029535",
"Canada","Both sexes","'35-49'","2014","0.61","0.60","0.61","0.53","36005","5941420",
"Canada","Both sexes","'35-39'","2014","0.58","0.57","0.59","0.94","11250","1932425",
"Canada","Both sexes","'40-44'","2014","0.59","0.58","0.61","0.92","11750","1976175",
"Canada","Both sexes","'45-49'","2014","0.64","0.63","0.65","0.88","13000","2032815",
"Canada","Both sexes","'50-64'","2014","0.73","0.72","0.73","0.48","43765","6035780",
"Canada","Both sexes","'50-54'","2014","0.72","0.71","0.73","0.79","16130","2243150",
"Canada","Both sexes","'55-59'","2014","0.73","0.71","0.74","0.82","14885","2050155",
"Canada","Both sexes","'60-64'","2014","0.73","0.72","0.74","0.89","12755","1742480",
"Canada","Both sexes","'65-79'","2014","0.74","0.73","0.75","0.64","24515","3296040",
"Canada","Both sexes","'65-69'","2014","0.74","0.72","0.75","0.96","10825","1472680",
"Canada","Both sexes","'70-74'","2014","0.73","0.72","0.75","1.14","7640","1044215",
"Canada","Both sexes","'75-79'","2014","0.78","0.76","0.80","1.29","6045","779150",
"Canada","Both sexes","'80+'","2014","0.80","0.78","0.81","0.99","10150","1273865",
"Canada","Both sexes","'80-84'","2014","0.83","0.81","0.85","1.42","4930","595020",
"Canada","Both sexes","'85-89'","2014","0.84","0.81","0.87","1.73","3360","399065",
"Canada","Both sexes","'90+'","2014","0.67","0.64","0.70","2.32","1865","279790",
"Canada","Both sexes","'1+'","2015","0.62","0.62","0.63","0.24","180135","28874660",
"Canada","Both sexes","'1-19'","2015","0.45","0.44","0.45","0.61","27145","6079160",
"Canada","Both sexes","'1-4'","2015","0.23","0.22","0.24","1.89","2805","1237965",
"Canada","Both sexes","'5-9'","2015","0.45","0.44","0.46","1.17","7255","1614875",
"Canada","Both sexes","'10-14'","2015","0.51","0.50","0.53","1.12","8040","1563610",
"Canada","Both sexes","'15-19'","2015","0.54","0.53","0.56","1.05","9040","1662705",
"Canada","Both sexes","'20-34'","2015","0.59","0.59","0.60","0.53","35410","5990070",
"Canada","Both sexes","'20-24'","2015","0.61","0.60","0.63","0.93","11590","1886630",
"Canada","Both sexes","'25-29'","2015","0.58","0.57","0.59","0.92","11840","2034230",
"Canada","Both sexes","'30-34'","2015","0.58","0.57","0.59","0.91","11985","2069215",
"Canada","Both sexes","'35-49'","2015","0.61","0.60","0.61","0.53","36095","5953460",
"Canada","Both sexes","'35-39'","2015","0.58","0.57","0.60","0.93","11475","1963565",
"Canada","Both sexes","'40-44'","2015","0.60","0.59","0.61","0.92","11700","1959240",
"Canada","Both sexes","'45-49'","2015","0.64","0.63","0.65","0.88","12920","2030655",
"Canada","Both sexes","'50-64'","2015","0.73","0.73","0.74","0.47","44860","6125365",
"Canada","Both sexes","'50-54'","2015","0.72","0.70","0.73","0.79","15900","2221670",
"Canada","Both sexes","'55-59'","2015","0.74","0.73","0.75","0.80","15460","2098380",
"Canada","Both sexes","'60-64'","2015","0.75","0.73","0.76","0.86","13495","1805315",
"Canada","Both sexes","'65-79'","2015","0.76","0.75","0.77","0.62","25965","3431845",
"Canada","Both sexes","'65-69'","2015","0.74","0.73","0.76","0.93","11455","1543660",
"Canada","Both sexes","'70-74'","2015","0.75","0.73","0.77","1.11","8150","1084905",
"Canada","Both sexes","'75-79'","2015","0.79","0.77","0.81","1.25","6365","803290",
"Canada","Both sexes","'80+'","2015","0.82","0.81","0.84","0.97","10655","1294745",
"Canada","Both sexes","'80-84'","2015","0.85","0.82","0.87","1.40","5105","602310",
"Canada","Both sexes","'85-89'","2015","0.87","0.84","0.90","1.68","3540","407505",
"Canada","Both sexes","'90+'","2015","0.71","0.67","0.74","2.23","2010","284930",
"Canada","Both sexes","'1+'","2016","0.63","0.63","0.64","0.23","185345","29285150",
"Canada","Both sexes","'1-19'","2016","0.45","0.45","0.46","0.60","27830","6121440",
"Canada","Both sexes","'1-4'","2016","0.23","0.22","0.24","1.88","2825","1243980",
"Canada","Both sexes","'5-9'","2016","0.46","0.45","0.47","1.15","7550","1632365",
"Canada","Both sexes","'10-14'","2016","0.53","0.51","0.54","1.09","8375","1592360",
"Canada","Both sexes","'15-19'","2016","0.55","0.54","0.56","1.05","9085","1652745",
"Canada","Both sexes","'20-34'","2016","0.60","0.60","0.61","0.52","36585","6055445",
"Canada","Both sexes","'20-24'","2016","0.63","0.62","0.64","0.92","11805","1876615",
"Canada","Both sexes","'25-29'","2016","0.60","0.59","0.61","0.90","12400","2069215",
"Canada","Both sexes","'30-34'","2016","0.59","0.58","0.60","0.90","12380","2109610",
"Canada","Both sexes","'35-49'","2016","0.61","0.60","0.61","0.52","36440","6008395",
"Canada","Both sexes","'35-39'","2016","0.59","0.58","0.60","0.92","11825","2011285",
"Canada","Both sexes","'40-44'","2016","0.60","0.59","0.61","0.92","11740","1959250",
"Canada","Both sexes","'45-49'","2016","0.63","0.62","0.64","0.88","12880","2037865",
"Canada","Both sexes","'50-64'","2016","0.74","0.73","0.74","0.47","45705","6193015",
"Canada","Both sexes","'50-54'","2016","0.71","0.70","0.72","0.80","15580","2184220",
"Canada","Both sexes","'55-59'","2016","0.75","0.74","0.76","0.79","16060","2139685",
"Canada","Both sexes","'60-64'","2016","0.75","0.74","0.77","0.84","14065","1869100",
"Canada","Both sexes","'65-79'","2016","0.77","0.76","0.78","0.60","27675","3576610",
"Canada","Both sexes","'65-69'","2016","0.76","0.75","0.78","0.91","11950","1566550",
"Canada","Both sexes","'70-74'","2016","0.77","0.75","0.78","1.05","9015","1176360",
"Canada","Both sexes","'75-79'","2016","0.80","0.79","0.82","1.22","6710","833705",
"Canada","Both sexes","'80+'","2016","0.84","0.82","0.85","0.95","11110","1330240",
"Canada","Both sexes","'80-84'","2016","0.87","0.84","0.89","1.37","5300","611955",
"Canada","Both sexes","'85-89'","2016","0.87","0.84","0.90","1.66","3650","418990",
"Canada","Both sexes","'90+'","2016","0.72","0.69","0.75","2.15","2155","299295",
"Canada","Both sexes","'1+'","2017","0.64","0.64","0.64","0.23","190080","29700985",
"Canada","Both sexes","'1-19'","2017","0.46","0.46","0.47","0.59","28510","6168465",
